Record_ID,Country,State_Region,Date,Happiness_Score,GDP_Per_Capita,Social_Support,Healthy_Life_Expectancy,Freedom_To_Make_Life_Choices,Generosity,Perceptions_Of_Corruption,Positive_Affect,Negative_Affect,Confidence_In_Government
HAPPY_004365,Germany,North Rhine-Westphalia,2020-12-08,5.495,26919.96,1.143,79.0,0.986,0.187,0.257,0.326,0.211,0.452
HAPPY_008070,Iran,Gilan,2019-06-05,6.174,7103.06,1.521,69.8,0.78,-0.24,0.266,0.507,0.426,0.35
HAPPY_014028,USA,Michigan,2023-12-28,8.303,3638.61,1.79,75.2,0.928,0.14,0.076,0.633,0.569,0.582
HAPPY_012751,Brazil,Sao Paulo,2023-05-02,6.261,7722.1,1.933,61.7,0.962,0.187,0.325,0.546,0.708,0.119
HAPPY_008662,Australia,Northern Territory,2018-01-12,3.537,13974.18,1.6,65.3,1.088,-0.361,0.147,0.928,0.421,0.806
HAPPY_011756,USA,New York,2020-01-10,5.12,6434.54,1.639,65.9,1.018,0.182,0.296,0.865,0.325,0.482
HAPPY_006806,USA,Colorado,2020-07-13,2.982,,1.821,64.6,1.033,-0.106,0.219,0.248,0.798,0.729
HAPPY_009460,China,Shaanxi,2015-05-18,5.711,2283.7,0.192,45.0,0.518,-0.146,0.396,0.791,0.218,0.75
HAPPY_002496,Russia,Chelyabinsk Oblast,2021-01-05,4.351,40628.09,1.055,63.5,0.755,0.199,0.254,0.666,0.483,0.404
HAPPY_006091,South Africa,Northern Cape,2023-03-02,3.67,9965.87,0.895,85.0,0.71,0.5,0.038,0.845,0.827,0.414
HAPPY_006066,France,Ile-de-France,2023-09-11,8.492,26265.42,0.752,60.8,0.603,0.006,0.529,0.778,,0.507
HAPPY_003222,Canada,New Brunswick,2022-05-21,7.268,9083.18,1.473,85.0,0.388,-0.078,0.469,0.526,0.171,0.386
HAPPY_010755,South Korea,Jeju,2021-02-20,6.66,5282.85,0.566,77.2,1.357,-0.262,0.107,0.591,0.374,0.467
HAPPY_014478,Mexico,Tamaulipas,2020-01-23,5.937,30182.38,1.968,67.7,1.176,-0.256,0.186,0.36,0.335,0.477
HAPPY_009993,UK,London,2020-02-07,8.472,21380.2,1.605,54.4,0.656,0.226,0.384,0.855,0.432,0.029
HAPPY_003155,Germany,Saarland,2022-10-05,2.52,9155.71,0.482,69.9,0.551,-0.047,0.424,0.741,0.344,0.088
HAPPY_006982,South Korea,Jeolla,2024-12-26,2.717,26971.41,0.937,61.9,1.102,-0.202,0.476,0.325,0.374,0.613
HAPPY_013727,France,Normandy,2016-02-02,,28292.72,1.515,45.0,0.818,-0.5,0.25,0.905,0.338,0.035
HAPPY_009176,Canada,Northwest Territories,2024-10-01,6.698,35884.11,1.776,75.0,0.634,-0.37,0.726,0.804,0.187,0.73
HAPPY_010180,India,Uttar Pradesh,2020-10-07,5.447,7190.17,0.216,57.5,1.25,-0.338,0.358,0.619,0.108,0.462
HAPPY_013609,UK,East Midlands,2024-05-12,6.727,10814.69,1.589,51.0,0.672,-0.5,0.364,0.716,0.549,0.313
HAPPY_014867,Spain,Cantabria,2020-10-24,3.753,6347.57,1.708,56.6,1.247,-0.062,0.42,0.255,0.605,0.453
HAPPY_002764,Russia,Republic of Tatarstan,2018-06-28,3.348,37340.72,0.977,70.2,0.711,0.237,0.609,0.148,0.227,0.535
HAPPY_013020,France,Normandy,2021-04-20,6.144,8625.08,1.14,68.9,1.379,0.5,0.66,0.182,0.111,0.261
HAPPY_010894,Italy,Friuli,2021-02-11,5.763,10882.66,,77.5,0.429,-0.311,0.682,0.627,0.414,0.587
HAPPY_003490,South Africa,Western Cape,2020-09-04,5.588,5981.72,1.438,83.7,0.851,0.272,0.725,,0.221,0.459
HAPPY_007899,Turkey,Malatya,2018-08-22,2.852,78332.55,0.811,45.7,0.846,-0.5,0.599,0.452,0.272,0.465
HAPPY_009040,Brazil,Bahia,2016-07-13,7.86,,1.065,63.7,0.757,0.332,0.477,0.455,0.235,0.306
HAPPY_001937,Turkey,Malatya,2019-10-26,4.489,45984.69,0.848,65.5,0.873,0.284,0.539,0.626,0.419,0.48
HAPPY_001799,Italy,Marche,2015-11-05,5.637,17895.32,,63.0,0.879,0.434,0.386,0.732,0.801,0.517
HAPPY_008798,China,Anhui,2020-12-15,4.332,8601.91,1.995,53.3,1.288,0.366,0.126,0.54,0.604,0.112
HAPPY_012941,Mexico,Baja California,2019-10-25,7.395,12059.11,0.589,49.3,1.288,0.257,0.092,0.655,0.088,0.813
HAPPY_007458,Spain,Andalusia,2015-06-08,5.857,14390.55,1.831,70.8,0.644,0.498,0.022,0.563,0.482,0.516
HAPPY_004256,Japan,Tokyo,2023-12-28,6.742,15256.61,1.561,50.9,0.398,0.078,0.733,0.67,0.241,0.317
HAPPY_004375,Germany,Brandenburg,2016-03-09,6.317,26989.31,1.891,69.2,0.565,0.365,0.378,0.892,0.668,0.407
HAPPY_006412,South Korea,Incheon,2024-04-03,7.625,20841.03,1.029,53.1,0.659,-0.418,0.526,0.802,0.7,0.462
HAPPY_009998,South Africa,Northern Cape,2022-10-02,2.887,28113.78,1.817,59.0,1.155,-0.323,0.226,0.927,0.129,0.213
HAPPY_011043,Italy,Calabria,2018-05-07,6.319,10050.11,1.473,50.3,0.551,0.232,0.204,0.864,0.504,0.435
HAPPY_014879,Italy,Valle d'Aosta,2024-05-18,6.416,21289.2,0.672,71.9,0.495,0.023,0.515,0.269,0.25,0.641
HAPPY_002181,China,Hubei,2015-07-14,5.314,23042.2,1.695,,1.017,-0.151,0.307,0.321,0.763,0.126
HAPPY_005198,Australia,Australian Capital Territory,2022-07-17,3.395,24654.34,1.39,75.5,0.765,0.054,0.361,0.683,0.109,0.238
HAPPY_009595,South Korea,Gwangju,2015-07-13,3.951,30997.09,0.82,47.9,1.295,0.207,0.466,0.659,0.496,0.61
HAPPY_008616,USA,Georgia,2018-11-01,5.128,11234.66,1.876,51.7,1.187,-0.377,0.472,0.493,0.254,0.447
HAPPY_014419,Mexico,Chihuahua,2018-11-11,3.45,9395.85,1.099,61.6,1.148,-0.5,0.067,0.706,0.478,0.553
HAPPY_014875,South Korea,Gyeongsang,2016-01-22,8.11,6491.5,1.699,61.2,1.057,-0.118,0.113,0.475,0.335,0.406
HAPPY_009501,France,Provence-Alpes-Cote d'Azur,2022-07-23,6.508,36744.24,1.935,59.1,1.093,0.253,0.157,0.572,0.421,0.126
HAPPY_011256,South Africa,Limpopo,2017-03-15,3.144,17513.73,1.846,78.6,0.514,-0.039,0.366,0.726,0.548,0.494
HAPPY_011577,India,Tamil Nadu,2020-11-25,7.506,5658.2,0.258,75.8,0.496,0.144,0.545,0.493,0.439,0.446
HAPPY_004879,South Africa,KwaZulu-Natal,2023-09-26,5.298,4942.44,1.688,79.4,0.991,0.357,0.091,0.449,0.537,0.125
HAPPY_005112,UK,Wales,2015-06-08,6.387,6863.36,0.615,74.6,1.261,-0.151,0.633,0.126,0.03,0.503
HAPPY_004623,South Korea,Seoul,2017-05-08,7.387,14215.03,1.182,70.2,0.833,-0.245,0.427,0.362,0.548,0.494
HAPPY_015397,USA,California,2022-03-20,6.561,3870.42,1.673,65.7,0.678,-0.432,0.809,0.913,0.438,0.222
HAPPY_010969,UK,North West,2017-11-24,8.496,4779.71,1.303,48.5,0.857,-0.067,0.412,0.369,0.344,0.352
HAPPY_008761,UK,Scotland,2017-10-22,7.166,37282.06,0.455,56.7,,0.369,0.198,0.315,0.324,0.057
HAPPY_005646,Canada,Northwest Territories,2019-11-20,5.329,21186.56,1.829,64.5,1.314,0.5,0.682,0.553,0.546,0.526
HAPPY_013906,Russia,Novosibirsk Oblast,2018-03-22,4.207,13702.22,0.949,69.4,1.244,-0.268,0.482,0.809,0.573,0.404
HAPPY_005315,Canada,Northwest Territories,2024-12-13,,2310.62,1.025,74.3,1.207,-0.185,0.411,0.696,0.597,0.87
HAPPY_009417,France,Centre-Val de Loire,2023-12-08,5.733,13320.79,1.286,70.8,0.802,0.352,0.551,0.479,0.452,0.165
HAPPY_005482,Italy,Sicily,2016-10-08,6.044,18046.95,1.365,76.7,0.799,0.094,0.55,0.924,0.099,0.224
HAPPY_004475,South Korea,Chungcheong,2023-07-11,7.974,3816.66,1.814,46.9,,-0.234,0.714,0.653,0.217,0.599
HAPPY_011027,India,Bihar,2015-05-05,7.125,12379.59,1.392,82.3,1.04,0.271,0.635,0.787,0.245,0.1
HAPPY_011115,UK,Wales,2022-05-15,3.169,16280.24,0.556,64.2,1.005,0.043,0.992,0.403,0.462,0.485
HAPPY_001386,India,Madhya Pradesh,2021-08-06,2.706,18138.42,1.825,51.4,1.008,0.168,0.264,0.775,0.308,0.452
HAPPY_002463,Italy,Umbria,2020-06-24,5.212,31109.82,0.456,70.8,0.642,-0.098,0.343,0.883,0.508,0.336
HAPPY_003403,Australia,New South Wales,2018-01-25,4.276,10711.51,0.919,73.8,0.964,0.31,0.674,0.597,0.587,0.437
HAPPY_012775,Japan,Saitama,2016-12-02,7.152,8747.51,0.332,77.1,0.363,0.201,0.239,0.664,0.114,0.339
HAPPY_011263,Australia,Northern Territory,2016-10-12,2.749,4177.94,0.557,63.7,0.806,0.051,0.526,0.634,0.404,0.692
HAPPY_007621,USA,Georgia,2015-04-15,2.767,2810.89,1.997,66.3,0.414,-0.087,0.608,0.694,0.518,0.289
HAPPY_008274,Mexico,Guerrero,2015-04-07,5.609,,1.043,45.0,0.759,-0.5,0.427,0.874,0.436,0.222
HAPPY_013048,Australia,New South Wales,2023-10-28,3.931,22031.66,0.717,64.8,0.769,0.014,0.676,0.568,0.736,0.048
HAPPY_010521,Russia,Volgograd Oblast,2022-04-04,3.347,24208.52,0.673,76.8,0.958,0.188,0.774,0.286,0.162,0.3
HAPPY_015357,Germany,Schleswig-Holstein,2021-06-21,7.393,20137.19,1.49,78.1,1.143,0.441,0.127,0.612,0.799,0.29
HAPPY_006330,USA,Georgia,2021-08-01,5.754,11222.38,1.993,84.6,0.972,-0.197,0.561,0.79,0.236,0.848
HAPPY_001494,UK,North West,2021-03-17,3.181,61171.38,0.25,68.8,1.018,-0.5,0.154,0.792,0.18,
HAPPY_001886,Germany,Brandenburg,2022-09-08,5.288,10484.46,0.866,67.4,0.753,,0.437,0.377,0.483,0.177
HAPPY_005126,USA,Georgia,2023-12-19,3.593,5092.32,0.774,66.9,0.197,-0.405,0.519,,0.504,0.201
HAPPY_001436,UK,East Midlands,2018-12-09,6.996,42222.35,1.147,76.1,1.085,-0.389,0.727,0.802,0.541,0.014
HAPPY_001939,Russia,Moscow,2022-10-05,6.968,12198.51,1.156,77.6,0.867,0.188,0.485,0.64,0.583,0.177
HAPPY_011948,France,Ile-de-France,2024-02-25,7.812,9747.49,1.618,62.2,0.516,0.294,0.552,0.502,0.455,
HAPPY_006133,South Korea,Jeju,2024-01-20,7.018,15652.21,1.686,59.6,1.158,-0.094,0.652,0.228,0.296,0.302
HAPPY_007716,Iran,Hormozgan,2023-10-26,4.481,27862.95,1.127,66.9,0.84,-0.274,0.678,0.761,0.635,0.534
HAPPY_010337,South Africa,Gauteng,2021-03-23,5.14,15863.16,1.979,75.9,0.684,-0.5,0.313,0.932,0.18,0.553
HAPPY_001302,Spain,Asturias,2017-03-15,7.745,21555.06,1.339,58.5,0.634,0.319,0.161,0.91,0.464,0.758
HAPPY_007035,China,Yunnan,2021-04-09,7.39,6693.5,1.699,81.2,1.289,0.01,0.191,,0.504,0.2
HAPPY_005333,Russia,Republic of Tatarstan,2024-12-27,5.027,10850.82,0.818,62.3,0.988,-0.206,0.577,0.688,0.358,0.121
HAPPY_010214,Turkey,Izmir,2023-05-24,3.739,8060.11,0.568,79.5,1.178,-0.115,0.755,0.751,0.294,0.434
HAPPY_005124,Spain,Balearic Islands,2024-09-01,6.535,12473.64,0.973,65.5,0.549,-0.295,0.633,0.883,0.348,0.3
HAPPY_007610,India,Delhi,2017-11-16,6.088,18981.03,0.605,60.0,0.778,0.5,0.541,0.746,0.167,0.213
HAPPY_014562,South Africa,North West,2016-11-07,3.371,9431.99,0.802,56.7,0.766,-0.5,0.177,0.684,0.532,0.498
HAPPY_015031,Brazil,Parana,2019-12-18,3.906,6823.39,1.311,76.6,0.388,-0.067,0.485,0.838,0.028,0.153
HAPPY_001212,Australia,New South Wales,2020-03-10,5.138,41320.22,1.768,76.9,0.609,-0.075,0.373,0.654,0.429,0.311
HAPPY_005793,Brazil,Pernambuco,2024-03-12,5.277,14350.25,1.872,45.0,0.74,-0.212,0.06,0.636,0.132,
HAPPY_010087,Brazil,Minas Gerais,2015-11-28,4.926,14893.17,1.178,75.0,1.151,-0.373,0.214,0.562,0.367,0.372
HAPPY_013302,South Africa,Mpumalanga,2015-06-25,2.877,6521.14,1.061,75.2,0.932,0.169,0.309,0.772,0.762,0.327
HAPPY_014255,China,Jilin,2022-06-08,,6661.67,1.307,47.1,1.21,0.104,0.278,0.899,0.369,0.188
HAPPY_005867,Turkey,Kayseri,2022-10-23,2.607,30325.52,1.018,66.1,1.13,-0.429,0.299,0.664,0.513,0.486
HAPPY_012277,Canada,Nova Scotia,2016-03-18,7.999,3993.17,1.374,78.7,0.966,0.244,0.435,0.281,0.81,0.537
HAPPY_002814,UK,South East,2023-02-27,6.688,14827.45,1.842,65.4,1.311,-0.473,0.691,0.938,0.693,0.429
HAPPY_013267,Italy,Lombardy,2019-12-04,6.213,37595.55,1.742,71.6,0.821,-0.03,0.417,0.78,0.458,0.188
HAPPY_015518,South Korea,Gwangju,2021-03-21,2.718,9590.26,1.869,70.2,1.141,0.303,0.164,0.733,,0.331
HAPPY_011711,Canada,British Columbia,2017-07-24,6.038,19864.79,1.812,51.2,1.075,0.276,0.072,0.296,0.05,0.309
HAPPY_010013,India,Madhya Pradesh,2019-07-01,3.67,5976.22,1.766,72.3,0.913,0.197,0.351,0.603,0.686,0.265
HAPPY_003936,Turkey,Balikesir,2017-10-21,4.601,10443.96,1.806,65.9,1.206,-0.108,0.848,0.636,0.639,0.47
HAPPY_011781,UK,England,2022-04-17,2.816,4345.13,0.942,72.3,1.421,-0.034,0.122,0.179,0.47,0.615
HAPPY_001626,Spain,La Rioja,2020-10-08,5.104,19187.25,1.595,71.4,1.099,0.421,0.396,0.398,0.446,0.345
HAPPY_006652,India,Odisha,2019-03-13,3.093,14894.9,1.955,78.7,1.256,0.28,0.545,0.745,0.507,0.033
HAPPY_013636,Mexico,Veracruz,2018-06-16,4.024,5753.16,1.806,55.0,0.731,-0.129,0.18,0.369,0.336,0.245
HAPPY_004916,Japan,Osaka,2018-03-03,3.019,52653.29,0.916,68.7,0.494,0.338,0.828,0.556,0.356,0.205
HAPPY_012626,Brazil,Goias,2017-11-02,4.74,13069.42,1.228,57.4,0.837,-0.127,0.574,0.74,0.574,0.393
HAPPY_008886,China,Shaanxi,2017-08-20,7.943,27086.77,1.654,65.9,0.79,0.474,0.708,,0.417,0.098
HAPPY_010621,Germany,Berlin,2017-02-25,3.777,11788.52,1.196,61.1,0.757,0.178,0.553,0.37,0.4,0.447
HAPPY_015547,Japan,Chiba,2015-10-27,5.495,23542.66,1.76,58.5,1.399,-0.368,0.28,0.702,0.15,0.39
HAPPY_005716,South Korea,Gyeonggi,2015-03-22,4.458,5107.86,1.137,47.2,0.789,-0.3,0.039,0.765,0.099,0.464
HAPPY_010822,UK,North East,2016-12-18,6.563,10364.84,1.973,57.5,0.685,0.142,0.397,0.467,0.554,0.443
HAPPY_015813,Australia,Western Australia,2022-12-03,5.285,7957.58,1.789,,0.957,0.166,0.595,0.419,0.334,0.568
HAPPY_010728,USA,Michigan,2023-10-12,4.525,19575.19,1.1,68.9,1.142,-0.108,0.372,0.601,0.354,0.623
HAPPY_013640,Australia,Western Australia,2016-11-04,5.239,7534.31,1.662,72.1,1.354,-0.039,0.469,0.348,0.21,0.559
HAPPY_005988,France,Nouvelle-Aquitaine,2021-12-19,4.726,17485.35,1.273,61.5,0.695,-0.271,0.271,0.717,0.216,0.793
HAPPY_001176,Italy,Emilia-Romagna,2022-12-05,5.422,8660.92,1.916,59.8,0.703,,0.386,0.684,0.542,0.276
HAPPY_013396,Brazil,Sao Paulo,2017-08-19,3.35,4745.03,1.098,83.8,1.18,-0.25,0.162,0.62,0.607,0.619
HAPPY_001239,Germany,Thuringia,2015-09-08,3.485,7426.85,1.229,64.9,0.323,0.092,0.616,0.51,0.797,
HAPPY_013889,South Africa,Mpumalanga,2019-08-11,5.944,5829.45,1.553,62.0,0.889,-0.073,0.21,0.821,0.32,0.462
HAPPY_009958,UK,South East,2022-04-11,7.993,4253.75,0.468,65.3,0.496,0.347,0.158,0.126,0.329,0.302
HAPPY_009396,Mexico,Mexico City,2020-03-06,5.393,62358.7,0.963,59.5,0.372,0.414,0.099,0.412,,0.654
HAPPY_003039,South Africa,Free State,2015-05-07,8.161,4659.61,1.49,58.7,1.323,-0.247,0.375,0.706,0.401,0.326
HAPPY_014336,France,Bourgogne-Franche-Comte,2015-08-17,8.498,7480.43,1.628,57.6,0.537,-0.13,0.272,0.774,0.609,0.456
HAPPY_007576,Germany,North Rhine-Westphalia,2024-01-25,6.488,9907.78,1.581,59.0,1.013,0.16,0.326,0.351,0.541,0.354
HAPPY_011471,China,Guangxi,2015-10-10,4.709,5525.92,0.962,67.1,0.901,0.108,0.329,0.886,0.64,0.379
HAPPY_010357,Italy,Emilia-Romagna,2018-12-23,5.514,9555.99,1.836,53.2,0.775,-0.314,0.203,0.246,0.402,0.527
HAPPY_005363,Japan,Saitama,2016-01-13,4.449,42711.32,1.764,67.8,0.505,0.002,0.231,0.574,0.56,0.218
HAPPY_003984,Canada,British Columbia,2022-07-12,3.508,9474.03,1.994,45.0,0.77,-0.5,0.194,0.681,0.749,0.264
HAPPY_010593,UK,North West,2019-02-06,5.831,,1.902,78.6,0.909,0.166,0.25,0.559,0.39,0.558
HAPPY_011002,Iran,Gilan,2015-06-01,5.74,22274.1,0.631,60.3,0.999,0.117,0.692,0.842,0.194,0.063
HAPPY_001088,Canada,Quebec,2022-05-24,7.647,13140.23,0.951,47.1,0.358,-0.294,0.294,0.828,0.38,0.538
HAPPY_006953,USA,Florida,2015-12-05,4.671,12564.48,1.642,76.8,1.03,-0.061,0.387,0.801,0.441,0.592
HAPPY_008258,Brazil,Parana,2024-11-04,8.136,2974.84,1.725,78.2,1.002,0.367,0.514,0.89,0.237,0.132
HAPPY_008711,Australia,Western Australia,2017-03-28,5.12,15490.39,1.361,63.4,0.959,0.278,0.453,0.599,0.53,0.533
HAPPY_001724,USA,Texas,2021-06-09,5.596,4809.65,0.725,63.9,1.065,0.105,0.288,0.65,0.264,0.226
HAPPY_014610,Iran,Kermanshah,2018-10-27,6.987,19556.35,0.637,85.0,0.14,0.5,0.297,0.368,0.256,0.666
HAPPY_000477,Mexico,Sinaloa,2017-12-19,5.372,19883.05,0.875,78.6,1.208,-0.077,0.666,0.868,0.471,0.734
HAPPY_007399,Canada,Newfoundland and Labrador,2019-01-21,6.713,18287.94,1.421,48.1,1.093,0.394,0.359,0.736,0.24,0.276
HAPPY_000955,USA,California,2020-04-16,3.188,55865.95,1.283,63.5,1.345,0.19,0.149,0.289,0.585,0.202
HAPPY_015758,China,Shandong,2016-10-23,7.078,27055.87,1.909,50.4,0.589,0.5,0.265,0.678,0.412,0.277
