Record_ID,Symbol,Company_Name,Sector,Date,Open_Price,High_Price,Low_Price,Close_Price,Volume,Market_Cap,PE_Ratio,Dividend_Yield,RSI
STK_005897,CSCO,Cisco Systems Inc.,Technology,2025-02-01,50.42,52.18,49.71,50.9,3426819184.0,203600000000.0,23.6,2.4,40.1
STK_014630,AMD,Advanced Micro Devices Inc.,Technology,2025-03-03,150.68,,145.59,147.07,1621929472.0,235311999999.0,8.2,3.17,49.2
STK_010759,PYPL,PayPal Holdings Inc.,Financial Services,2025-03-13,64.16,65.15,63.25,64.44,5396145539.0,79310769230.0,14.1,2.72,62.3
STK_009412,TMO,Thermo Fisher Scientific Inc.,Healthcare,2025-01-19,546.0,561.24,533.18,545.44,1341935234.0,218176000000.0,16.3,2.44,72.5
STK_014546,GM,General Motors Co.,Consumer Cyclical,2025-01-13,40.6,42.59,,41.64,1499564827.0,62459999999.0,34.1,3.04,59.0
STK_013960,PM,Philip Morris International Inc.,Consumer Defensive,2025-02-21,93.79,96.59,89.13,90.31,313599140.0,142594736842.0,25.9,0.47,59.2
STK_000180,EA,Electronic Arts Inc.,Communication Services,2025-02-22,132.34,140.35,128.86,136.41,4406311445.0,41972307692.0,32.4,0.31,45.5
STK_004948,PEP,PepsiCo Inc.,Consumer Defensive,2025-02-26,166.75,169.59,159.03,162.18,225957702.0,219420000000.0,35.3,1.14,57.0
STK_015132,CRM,Salesforce Inc.,Technology,2025-02-11,232.63,235.66,229.47,232.63,464787365.0,222515652173.0,15.6,3.6,41.0
STK_008932,MA,Mastercard Inc.,Financial Services,2025-03-03,404.06,424.98,401.04,414.78,522110439.0,414780000000.0,46.4,3.05,51.0
STK_000054,V,Visa Inc.,Financial Services,2025-02-24,247.29,267.7,246.05,263.4,3545864015.0,526799999999.0,33.0,4.36,38.9
STK_008987,NVDA,NVIDIA Corporation,Technology,2025-03-30,446.16,452.18,437.81,447.32,1761991954.0,1093448888888.0,8.0,0.84,55.3
STK_008067,UNH,UnitedHealth Group Inc.,Healthcare,2025-01-01,494.39,502.44,485.22,493.04,1435429066.0,443736000000.0,39.4,1.4,38.1
STK_011061,NVDA,NVIDIA Corporation,Technology,2025-02-11,450.13,463.09,434.32,442.41,1339051526.0,1081446666666.0,16.1,3.55,37.1
STK_006467,JPM,JPMorgan Chase & Co.,Financial Services,2025-03-21,172.25,179.65,169.35,175.28,902451579.0,515529411764.0,10.4,3.58,55.4
STK_007595,NVDA,NVIDIA Corporation,Technology,2025-02-19,455.83,468.12,452.35,456.56,565548920.0,1116035555555.0,24.0,3.97,74.3
STK_008552,MU,Micron Technology Inc.,Technology,2025-01-14,85.7,87.69,84.55,85.34,3165708592.0,90360000000.0,28.2,1.05,49.8
STK_005594,NVDA,NVIDIA Corporation,Technology,2025-02-13,451.55,459.68,,450.29,619763114.0,1100708888888.0,24.6,4.01,25.4
STK_008774,AMZN,Amazon.com Inc.,Consumer Cyclical,2025-02-28,149.75,152.3,143.16,146.79,5786685627.0,1565759999999.0,15.5,0.93,43.3
STK_006566,HD,Home Depot Inc.,Consumer Cyclical,2025-01-16,327.61,345.2,321.49,335.46,6937588478.0,355790909090.0,26.1,1.14,4.7
STK_004378,AMD,Advanced Micro Devices Inc.,Technology,2025-01-07,152.33,153.89,144.42,146.01,476348402.0,233615999999.0,28.0,3.93,74.6
STK_009285,EA,Electronic Arts Inc.,Communication Services,2025-01-18,128.46,131.63,127.03,128.29,8762329008.0,39473846153.0,25.1,3.0,73.0
STK_007116,CAT,Caterpillar Inc.,Industrials,2025-02-10,229.12,235.06,223.99,226.9,1855229092.0,118382608695.0,12.8,2.51,29.9
STK_011621,MU,Micron Technology Inc.,Technology,2025-03-03,83.94,86.25,82.28,84.6,855320436.0,89576470588.0,38.7,3.1,55.0
STK_014115,ABT,Abbott Laboratories,Healthcare,2025-01-01,110.98,112.24,103.12,104.74,286953631.0,180914545454.0,30.8,1.9,60.4
STK_003194,F,Ford Motor Co.,Consumer Cyclical,2025-02-14,12.05,12.3,11.87,11.95,341947280.0,49791666666.0,23.1,1.36,36.4
STK_007220,MU,Micron Technology Inc.,Technology,2025-01-11,86.58,91.03,85.43,89.86,1886220057.0,95145882352.0,28.4,4.23,31.2
STK_006205,GOOGL,Alphabet Inc.,Technology,2025-02-05,140.73,144.35,134.53,138.53,583073367.0,1781100000000.0,23.4,4.41,64.3
STK_006212,BA,Boeing Co.,Industrials,2025-01-01,218.29,221.71,212.76,214.09,4735986917.0,136239090909.0,39.6,2.71,65.0
STK_011833,IBM,International Business Machines Corp.,Technology,2025-03-22,180.37,181.43,178.03,179.43,4787713056.0,159493333333.0,13.7,1.75,73.1
STK_013496,JNJ,Johnson & Johnson,Healthcare,2025-03-30,152.69,155.86,147.93,152.44,2062522724.0,393393548387.0,27.4,1.1,54.8
STK_001931,GM,General Motors Co.,Consumer Cyclical,2025-03-04,39.62,42.69,38.97,41.57,2114325538.0,62355000000.0,40.5,2.39,51.6
STK_016618,SBUX,Starbucks Corporation,Consumer Cyclical,2025-01-03,95.25,97.7,93.94,96.68,1603497621.0,111945263157.0,31.6,0.01,68.2
STK_013952,TSLA,Tesla Inc.,Automotive,2025-02-02,223.27,227.6,214.37,220.87,4581716684.0,702768181818.0,30.6,2.03,51.1
STK_006289,V,Visa Inc.,Financial Services,2025-02-26,251.56,268.32,244.02,263.0,568832530.0,526000000000.0,22.8,3.81,50.5
STK_007911,JNJ,Johnson & Johnson,Healthcare,2025-02-09,156.15,157.33,147.45,150.19,3746052103.0,387587096774.0,40.8,2.97,46.8
STK_006065,CRM,Salesforce Inc.,Technology,2025-03-11,231.78,245.03,226.35,238.82,5370169758.0,228436521739.0,23.0,0.36,38.7
STK_012352,CRM,Salesforce Inc.,Technology,2025-01-13,234.59,244.5,227.84,240.5,3899107603.0,230043478260.0,32.1,2.6,62.0
STK_004060,HD,Home Depot Inc.,Consumer Cyclical,2025-01-20,331.02,338.65,322.5,,2228389625.0,349756060606.0,27.2,0.47,53.1
STK_016622,NFLX,Netflix Inc.,Communication Services,2025-01-24,553.89,560.34,538.17,550.89,459876516.0,240388363636.0,28.7,0.86,50.0
STK_013282,MA,Mastercard Inc.,Financial Services,2025-02-10,399.89,433.1,396.61,427.26,7785873337.0,427260000000.0,20.0,0.76,41.1
STK_007330,AMD,Advanced Micro Devices Inc.,Technology,2025-02-23,151.36,154.67,146.69,147.88,5716311100.0,236608000000.0,18.6,2.47,44.7
STK_008129,AMZN,Amazon.com Inc.,Consumer Cyclical,2025-01-12,151.19,155.81,148.34,152.86,419612935.0,1630506666666.0,,2.61,50.3
STK_009876,AVGO,Broadcom Inc.,Technology,2025-03-24,1211.45,1223.03,1185.2,1206.83,517050864.0,502845833333.0,27.4,4.05,30.7
STK_008755,ACN,Accenture plc,Technology,2025-01-21,316.49,322.34,300.63,309.9,354117632.0,193687500000.0,21.2,3.85,62.9
STK_017315,IBM,International Business Machines Corp.,Technology,2025-03-29,182.19,186.94,176.74,181.98,3560198018.0,161759999999.0,23.5,1.96,76.8
STK_006275,JNJ,Johnson & Johnson,Healthcare,2025-03-26,157.47,164.56,,161.65,558798870.0,417161290322.0,29.5,4.04,60.7
STK_010142,AMGN,Amgen Inc.,Healthcare,2025-01-15,280.44,284.37,277.57,279.36,2247182213.0,149657142857.0,30.3,3.71,37.1
STK_011078,MSFT,Microsoft Corporation,Technology,2025-01-28,383.97,387.8,373.28,378.6,3095621753.0,2490789473684.0,23.4,0.85,58.2
STK_006230,CAT,Caterpillar Inc.,Industrials,2025-02-15,233.9,239.57,227.6,233.79,4756714942.0,121977391304.0,,3.33,78.7
STK_005952,PG,Procter & Gamble Co.,Consumer Defensive,2025-02-11,147.29,154.3,143.46,150.34,272663172.0,362889655172.0,30.4,3.76,68.8
STK_003349,NVDA,NVIDIA Corporation,Technology,2025-03-15,451.29,460.49,446.18,453.19,144384689.0,1107797777777.0,21.9,4.19,44.0
STK_017117,TMO,Thermo Fisher Scientific Inc.,Healthcare,2025-02-23,550.39,557.21,520.3,527.98,1560638906.0,211192000000.0,27.8,0.23,63.6
STK_016814,SBUX,Starbucks Corporation,Consumer Cyclical,2025-02-09,94.06,95.71,88.94,90.52,1741569102.0,104812631578.0,30.6,3.77,39.2
STK_011142,PEP,PepsiCo Inc.,Consumer Defensive,2025-01-29,167.12,169.29,,159.82,850733623.0,216227058823.0,43.8,1.27,65.4
STK_001436,TMO,Thermo Fisher Scientific Inc.,Healthcare,2025-03-10,551.76,555.91,509.35,517.76,6545482337.0,207104000000.0,24.4,4.28,34.0
STK_010291,QCOM,Qualcomm Inc.,Technology,2025-02-13,139.51,150.98,138.79,146.62,6987561378.0,167565714285.0,8.0,2.92,73.5
STK_007170,META,Meta Platforms Inc.,Communication Services,2025-03-11,316.85,328.06,308.77,321.01,4020869810.0,1003156250000.0,25.3,2.06,46.4
STK_014745,PYPL,PayPal Holdings Inc.,Financial Services,2025-01-31,65.64,66.97,64.25,65.4,1249575662.0,80492307692.0,8.0,0.92,69.5
STK_004796,RTX,RTX Corporation,Industrials,2025-01-17,85.45,92.44,83.74,89.96,2369664472.0,127002352941.0,24.5,0.53,59.5
STK_003973,DIS,Walt Disney Co.,Communication Services,2025-03-16,93.66,95.88,91.83,92.4,182837580.0,175073684210.0,30.2,2.96,63.7
STK_005544,ADBE,Adobe Inc.,Technology,2025-01-04,515.87,525.52,512.15,517.1,7824546135.0,248605769230.0,18.2,4.47,44.6
STK_005167,AVGO,Broadcom Inc.,Technology,2025-03-23,1196.84,1228.17,1143.75,1177.16,1452393800.0,490483333333.0,21.9,4.25,54.6
STK_015674,GOOGL,Alphabet Inc.,Technology,2025-02-11,140.81,144.07,139.72,141.12,6281045488.0,1814400000000.0,29.1,1.15,32.6
STK_012951,MDT,Medtronic plc,Healthcare,2025-02-20,85.64,86.21,83.54,85.36,377904676.0,110465882352.0,25.8,2.13,40.2
STK_003879,META,Meta Platforms Inc.,Communication Services,2025-03-30,322.03,330.15,314.53,323.33,446006514.0,1010406250000.0,12.2,0.44,75.0
STK_002777,DIS,Walt Disney Co.,Communication Services,2025-03-21,94.67,99.09,94.06,96.23,6021022836.0,182330526315.0,16.1,3.59,40.1
STK_009238,LIN,Linde plc,Basic Materials,2025-01-23,406.7,416.65,403.64,405.68,935598122.0,202840000000.0,33.5,2.96,46.4
STK_002837,ATVI,Activision Blizzard Inc.,Communication Services,2025-02-11,90.66,93.39,89.53,91.35,862857993.0,71050000000.0,19.9,3.53,67.0
STK_013562,PYPL,PayPal Holdings Inc.,Financial Services,2025-03-20,64.41,65.24,62.83,64.48,551891274.0,79360000000.0,34.3,0.71,34.2
STK_013705,RTX,RTX Corporation,Industrials,2025-03-29,86.0,87.86,83.6,85.38,680802984.0,120536470588.0,22.6,1.21,56.4
STK_000181,GM,General Motors Co.,Consumer Cyclical,2025-02-21,39.77,40.29,36.05,36.61,1350617648.0,54915000000.0,12.8,2.13,51.6
STK_012650,GS,Goldman Sachs Group Inc.,Financial Services,2025-03-01,376.85,390.08,366.27,382.95,2116495838.0,131009210526.0,20.7,0.83,71.7
STK_016524,RTX,RTX Corporation,Industrials,2025-03-10,86.41,,82.11,83.12,162339360.0,117345882352.0,22.9,0.64,54.7
STK_002012,LIN,Linde plc,Basic Materials,2025-01-12,404.36,410.45,388.53,395.49,197469053.0,197745000000.0,22.0,2.39,53.0
STK_009815,MDT,Medtronic plc,Healthcare,2025-03-10,85.55,90.66,84.72,88.33,4326213480.0,114309411764.0,23.9,2.67,76.5
STK_014238,GM,General Motors Co.,Consumer Cyclical,2025-03-19,40.57,41.14,40.3,40.85,482418183.0,61275000000.0,30.9,2.14,59.1
STK_001303,AMD,Advanced Micro Devices Inc.,Technology,2025-03-14,150.18,151.4,145.83,147.38,1245739427.0,235807999999.0,10.1,4.25,53.4
STK_006453,IBM,International Business Machines Corp.,Technology,2025-03-10,,182.59,172.75,180.92,6701026616.0,160817777777.0,27.1,2.43,59.5
STK_003501,F,Ford Motor Co.,Consumer Cyclical,2025-02-06,12.13,12.21,,12.05,7862276667.0,50208333333.0,36.0,0.93,50.6
STK_014391,CSCO,Cisco Systems Inc.,Technology,2025-03-27,49.1,50.03,46.52,47.01,548247566.0,188040000000.0,36.6,2.7,45.3
STK_012164,ACN,Accenture plc,Technology,2025-01-26,324.86,337.43,322.09,328.68,14392025664.0,205425000000.0,30.6,2.55,38.2
STK_011739,HD,Home Depot Inc.,Consumer Cyclical,2025-03-02,324.08,328.71,312.9,322.0,245282043.0,341515151515.0,17.1,1.45,68.4
STK_009751,PEP,PepsiCo Inc.,Consumer Defensive,2025-03-10,170.37,175.58,168.81,174.09,521636611.0,235533529411.0,27.6,1.84,22.6
STK_015312,ADBE,Adobe Inc.,Technology,2025-03-13,,528.57,505.02,525.46,158757124.0,252625000000.0,35.7,2.92,59.4
STK_010323,MDT,Medtronic plc,Healthcare,2025-02-26,84.08,86.21,81.93,84.08,2261319892.0,108809411764.0,31.2,3.24,40.7
STK_006145,JNJ,Johnson & Johnson,Healthcare,2025-03-04,156.75,162.52,153.52,158.95,4826204851.0,410193548387.0,28.2,1.47,42.1
STK_017379,MU,Micron Technology Inc.,Technology,2025-02-18,86.18,89.82,84.19,87.49,1464022404.0,92636470588.0,27.9,3.31,45.6
STK_017097,RTX,RTX Corporation,Industrials,2025-02-28,85.5,87.19,82.53,84.16,985396922.0,118814117647.0,13.3,1.76,72.8
STK_011753,GE,General Electric Co.,Industrials,2025-01-28,128.44,131.65,124.23,127.64,2500053230.0,137458461538.0,22.3,0.76,38.0
STK_012283,NKE,Nike Inc.,Consumer Cyclical,2025-02-21,98.72,101.14,97.07,99.87,462597061.0,159792000000.0,24.6,3.59,59.1
STK_016536,F,Ford Motor Co.,Consumer Cyclical,2025-02-15,11.78,12.1,11.14,11.42,587743400.0,47583333333.0,24.5,3.09,30.9
STK_014186,JNJ,Johnson & Johnson,Healthcare,2025-01-30,152.17,153.15,145.77,149.12,384439297.0,384825806451.0,25.7,3.86,68.2
STK_000111,MU,Micron Technology Inc.,Technology,2025-02-13,84.99,87.83,83.77,87.08,3976278701.0,92202352941.0,23.0,0.03,26.7
STK_003565,AMGN,Amgen Inc.,Healthcare,2025-01-18,283.0,296.54,280.98,292.94,927116253.0,156932142857.0,39.1,0.11,58.2
STK_011399,GE,General Electric Co.,Industrials,2025-02-22,129.43,138.62,126.65,136.37,2860892920.0,146860000000.0,27.3,0.07,51.2
STK_003782,GOOGL,Alphabet Inc.,Technology,2025-03-23,140.09,144.05,137.15,,2865156876.0,1782000000000.0,23.8,3.35,56.2
STK_009314,GS,Goldman Sachs Group Inc.,Financial Services,2025-03-25,381.91,391.57,369.55,375.11,1212713739.0,128327105263.0,16.4,1.17,27.5
STK_006079,SBUX,Starbucks Corporation,Consumer Cyclical,2025-03-09,96.58,103.45,95.96,101.37,1681979137.0,117375789473.0,30.3,2.06,
STK_003406,SBUX,Starbucks Corporation,Consumer Cyclical,2025-02-23,93.73,94.43,89.97,90.99,467908497.0,105356842105.0,21.5,4.09,22.1
STK_001876,QCOM,Qualcomm Inc.,Technology,2025-01-20,138.19,141.21,,138.71,2298163990.0,158525714285.0,23.7,3.46,62.6
STK_003653,HON,Honeywell International Inc.,Industrials,2025-02-08,203.36,204.77,184.7,189.55,2307428796.0,123207500000.0,38.5,2.26,84.5
STK_015000,PEP,PepsiCo Inc.,Consumer Defensive,2025-03-11,169.72,178.41,167.4,176.24,5487728878.0,238442352941.0,20.1,3.81,42.2
STK_005056,QCOM,Qualcomm Inc.,Technology,2025-02-20,142.8,144.08,134.6,137.2,1288585442.0,156799999999.0,31.6,3.66,43.9
STK_009298,MMM,3M Company,Industrials,2025-02-21,103.51,105.44,101.07,102.55,3044708385.0,58600000000.0,30.9,4.31,32.7
STK_002476,DIS,Walt Disney Co.,Communication Services,2025-01-07,96.33,97.99,93.51,95.27,1585486711.0,180511578947.0,19.3,3.76,40.3
STK_015496,MA,Mastercard Inc.,Financial Services,2025-01-24,402.44,411.15,377.38,388.23,1034376765.0,388230000000.0,23.2,3.62,57.5
STK_015461,AMGN,Amgen Inc.,Healthcare,2025-02-05,279.61,296.65,271.37,294.91,787948941.0,157987500000.0,18.6,1.19,41.2
STK_004283,ACN,Accenture plc,Technology,2025-01-08,322.14,354.69,320.32,348.38,13403387057.0,217737500000.0,43.9,0.71,65.9
STK_013440,NKE,Nike Inc.,Consumer Cyclical,2025-02-03,101.29,103.27,97.25,99.96,3680452249.0,159936000000.0,33.2,3.33,56.4
STK_002478,GM,General Motors Co.,Consumer Cyclical,2025-01-23,40.28,40.94,39.52,40.34,542857042.0,60510000000.0,21.4,1.54,56.8
STK_008964,MSFT,Microsoft Corporation,Technology,2025-02-20,383.99,397.79,375.01,387.31,370680582.0,2548092105263.0,28.6,1.01,49.7
STK_016590,TMO,Thermo Fisher Scientific Inc.,Healthcare,2025-03-14,552.35,562.42,534.02,546.52,7251803299.0,218608000000.0,24.4,0.94,63.2
STK_005240,HD,Home Depot Inc.,Consumer Cyclical,2025-01-20,329.33,348.67,325.81,340.88,437542786.0,361539393939.0,23.9,3.63,22.5
STK_007649,INTC,Intel Corporation,Technology,2025-02-20,40.08,40.62,38.6,39.74,1352107134.0,178830000000.0,14.7,4.04,35.0
STK_014709,AMZN,Amazon.com Inc.,Consumer Cyclical,2025-02-16,152.99,155.51,148.76,149.92,51447386.0,1599146666666.0,31.3,1.49,40.2
STK_013194,ABT,Abbott Laboratories,Healthcare,2025-02-06,108.45,111.28,103.04,105.98,11069978994.0,183056363636.0,44.3,4.27,53.1
STK_001295,ADBE,Adobe Inc.,Technology,2025-03-29,514.27,519.94,503.82,508.98,1622498174.0,244701923076.0,12.9,2.82,34.1
STK_013569,NFLX,Netflix Inc.,Communication Services,2025-03-05,553.29,568.98,537.54,555.06,428394190.0,242207999999.0,17.4,2.15,51.4
STK_007858,LIN,Linde plc,Basic Materials,2025-01-21,400.12,405.94,378.97,386.62,728296031.0,193310000000.0,19.3,0.7,64.6
STK_016204,PYPL,PayPal Holdings Inc.,Financial Services,2025-02-13,65.32,65.97,64.75,65.12,2644159122.0,80147692307.0,31.4,2.06,65.4
STK_003683,AMZN,Amazon.com Inc.,Consumer Cyclical,2025-02-18,148.2,151.49,143.61,146.48,151939206.0,1562453333333.0,26.3,0.52,84.5
STK_001899,MDT,Medtronic plc,Healthcare,2025-02-03,83.82,84.78,81.63,83.16,4049430217.0,107618823529.0,19.9,0.01,13.4
STK_005394,PEP,PepsiCo Inc.,Consumer Defensive,2025-03-08,168.69,171.92,166.36,168.09,5877535942.0,227415882352.0,28.8,4.5,64.2
STK_006923,INTC,Intel Corporation,Technology,2025-02-26,40.17,41.16,39.16,40.91,449098129.0,184094999999.0,28.5,1.97,36.3
STK_015572,MMM,3M Company,Industrials,2025-03-19,104.37,105.6,101.8,102.55,2234587658.0,58600000000.0,17.1,3.65,38.3
STK_004765,GS,Goldman Sachs Group Inc.,Financial Services,2025-03-04,386.11,394.71,374.94,382.27,1360122481.0,130776578947.0,28.0,1.91,45.4
STK_011036,NVDA,NVIDIA Corporation,Technology,2025-02-22,453.72,473.1,444.81,462.94,715585216.0,1131631111111.0,8.2,0.79,54.1
STK_009023,MMM,3M Company,Industrials,2025-01-04,103.7,106.02,102.68,104.27,6294754249.0,59582857142.0,9.3,0.33,79.8
STK_007677,TMO,Thermo Fisher Scientific Inc.,Healthcare,2025-02-28,539.84,559.96,534.26,548.62,681456535.0,219448000000.0,22.8,2.35,51.4
STK_006329,UPS,United Parcel Service Inc.,Industrials,2025-01-30,159.83,160.74,156.83,158.7,10344544518.0,138862500000.0,25.4,2.01,65.2
STK_008562,AMD,Advanced Micro Devices Inc.,Technology,2025-03-11,147.88,150.15,140.85,143.84,744502360.0,230144000000.0,31.8,4.04,50.1
STK_012505,JPM,JPMorgan Chase & Co.,Financial Services,2025-03-22,167.74,172.73,164.28,165.39,313158532.0,486441176470.0,17.8,0.46,81.0
STK_006225,GM,General Motors Co.,Consumer Cyclical,2025-01-13,40.62,43.69,39.69,42.99,68407770.0,64485000000.0,25.9,2.72,53.7
STK_009115,BA,Boeing Co.,Industrials,2025-03-12,219.55,224.01,203.61,207.86,654726422.0,132274545454.0,12.2,3.11,54.7
STK_012777,AVGO,Broadcom Inc.,Technology,2025-01-08,1179.59,1220.74,1158.74,1207.35,196015149.0,503062499999.0,11.3,2.99,46.7
STK_008221,ABT,Abbott Laboratories,Healthcare,2025-01-24,108.38,113.58,105.78,111.31,415893887.0,,19.4,4.16,52.9
STK_014458,AAPL,Apple Inc.,Technology,2025-03-04,180.67,185.46,176.28,180.04,10718285188.0,2800622222222.0,14.7,1.11,73.9
STK_015640,NFLX,Netflix Inc.,Communication Services,2025-01-13,559.6,563.21,541.82,550.74,684459646.0,240322909090.0,23.7,2.6,47.9
STK_017002,MA,Mastercard Inc.,Financial Services,2025-03-22,400.42,410.79,392.88,395.61,3073338319.0,395610000000.0,24.2,4.41,71.0
STK_012789,GS,Goldman Sachs Group Inc.,Financial Services,2025-02-14,387.38,399.21,381.02,389.08,662917572.0,133106315789.0,20.7,0.43,70.3
STK_006101,GE,General Electric Co.,Industrials,2025-03-25,129.2,130.92,126.82,128.87,4094858364.0,138783076923.0,17.3,2.42,50.2
STK_009371,F,Ford Motor Co.,Consumer Cyclical,2025-03-05,12.21,12.3,11.69,11.93,358874539.0,49708333333.0,34.7,2.57,34.7
STK_004265,UNH,UnitedHealth Group Inc.,Healthcare,2025-02-09,490.38,500.0,481.65,495.34,268474293.0,445806000000.0,18.5,,38.7
STK_008697,AMZN,Amazon.com Inc.,Consumer Cyclical,2025-02-03,152.81,157.84,150.46,153.27,519263395.0,1634880000000.0,26.4,1.24,70.1
STK_006587,INTC,Intel Corporation,Technology,2025-02-11,39.89,41.28,38.95,40.38,2178698770.0,181710000000.0,11.3,3.32,64.3
STK_016496,MU,Micron Technology Inc.,Technology,2025-01-09,84.44,85.97,81.31,82.76,1568323677.0,87628235294.0,27.3,0.53,55.9
STK_012431,EA,Electronic Arts Inc.,Communication Services,2025-02-18,129.32,131.59,127.75,128.97,2187846841.0,39683076923.0,42.3,3.26,49.0
STK_015637,GS,Goldman Sachs Group Inc.,Financial Services,2025-01-02,385.21,392.32,372.82,383.8,2018321101.0,131300000000.0,29.0,1.83,45.4
STK_009514,LIN,Linde plc,Basic Materials,2025-02-13,402.25,414.7,395.55,410.8,463385214.0,205400000000.0,8.6,0.19,71.0
STK_010718,HON,Honeywell International Inc.,Industrials,2025-02-15,197.93,202.14,195.23,199.82,,129883000000.0,32.1,2.68,33.2
STK_013322,INTC,Intel Corporation,Technology,2025-02-21,39.28,40.37,38.85,39.81,517896931.0,179145000000.0,14.1,2.41,51.8
STK_002615,RTX,RTX Corporation,Industrials,2025-01-29,84.68,86.14,81.12,83.59,104790793.0,118009411764.0,24.4,0.09,42.7
STK_014009,AAPL,Apple Inc.,Technology,2025-03-04,177.83,182.24,170.14,175.21,5170865247.0,2725488888888.0,33.4,0.12,44.0
STK_003736,ATVI,Activision Blizzard Inc.,Communication Services,2025-02-02,89.02,91.98,87.86,90.9,1486016533.0,70700000000.0,28.2,4.49,29.7
STK_006637,PEP,PepsiCo Inc.,Consumer Defensive,2025-02-09,169.85,172.95,161.65,163.72,,221503529411.0,31.7,3.0,39.6
STK_004529,ORCL,Oracle Corporation,Technology,2025-03-09,120.37,123.0,117.92,119.2,3046740860.0,317866666666.0,23.5,0.81,75.0
STK_016173,AMD,Advanced Micro Devices Inc.,Technology,2025-01-21,151.04,156.68,149.5,152.7,1977852838.0,244320000000.0,25.8,2.77,23.8
STK_000935,AMGN,Amgen Inc.,Healthcare,2025-02-15,276.8,296.76,270.88,288.73,2445568708.0,154676785714.0,21.6,3.02,32.9
STK_006549,CRM,Salesforce Inc.,Technology,2025-02-25,232.92,238.17,224.7,227.67,617700197.0,217771304347.0,28.9,1.22,54.8
STK_007691,NKE,Nike Inc.,Consumer Cyclical,2025-01-03,98.01,100.69,94.24,,1865307870.0,152640000000.0,21.7,2.45,33.5
STK_007566,IBM,International Business Machines Corp.,Technology,2025-03-12,177.44,179.35,161.58,164.55,507209007.0,146266666666.0,25.6,0.91,59.3
